choreographer,count
Kenneth MacMillan,49
Frederick Ashton,37
Ashley Page,19
William Tuckett,18
George Balanchine,16
Christopher Wheeldon,14
David Bintley,14
Liam Scarlett,14
Wayne McGregor,10
Jonathan Watkins,9
Marius Petipa,9
Vanessa Fenton,9
Matthew Hart,8
John Cranko,8
Glen Tetley,7
Ernst Meisner,7
Jerome Robbins,7
Alastair Marriott,6
Michael Corder,6
Mayumi Hotta,5
William Forsythe,5
Rudolf Nureyev,5
John Neumeier,5
August Bournonville,4
Cathy Marston,4
Ludovic Ondiviela,4
Kim Brandstrup,4
Pietra Mello-Pittman,4
Antony Tudor,4
Roland Petit,3
Kristen McNally,3
Tom Sapsford,3
Matjash Mrozewski,3
Mikhail Fokine,3
Erico Montes,3
Derek Deane,3
Viacheslav Samodurov,3
Xander Parish,3
Bronislava Nijinska,2
Hans van Manen,2
Jiri Kylian,2
Wayne Eagling,2
Johan Kobborg,2
Twyla Tharp,2
Andrae Howard,2
Vaslav Nijinsky,2
Nacho Duato,2
Maurice Bejart,2
Mark Morris,1
Rudi van Dantzig,1
Poppy Ben David,1
Victor Gsovsky,1
Fernando Montano,1
Mikhail Baryshnikov,1
Mats Ek,1
Alexander Alexeievich Gorsky,1
Agrippina Jacovlevna Vaganova,1
Richard Alston,1
Irek Mukhamedov,1
Hans Beck,1
Peter Wright,1
Antony Dowson,1
John Birchell Hughes,1
Natalia Makarova,1
Robert Helpmann,1
Leonide Fedorovich Massine,1
Emma Diamond,1
Anthony Dowell,1
Louise Bennett,1
Vakhtang Mikhailovich Chaboukiani,1
Peter Martins,1
Mark Baldwin,1
Mark Annear,1
Javier De Frutos,1
Peter Quanz,1
Christopher Hampson,1
Alfred Rodrigues,1
Stephen Baynes,1
Dana Caspersen,1
Jacopo Godani,1
Ninette de Valois,1
Flemming Flindt,1
Robert North,1
Bethany West,1
Antony Rizzi,1
Alan Carter,1
Jonathan Burrows,1
Romany Pajdak,1
Robert Lloyd Garland,1
Christopher Bruce,1
Lev Ivanovich Ivanov,1
Siobhan Davies,1
Russell Maliphant,1
Jennifer Jackson,1
