source,target
The,Sleeping
Sleeping,Beauty
Swan,Lake
The,Nutcracker
Romeo,And
And,Juliet
The,Dream
La,Fille
Fille,Mal
Mal,Gardee
Les,Patineurs
Tales,Of
Of,Beatrix
Beatrix,Potter
La,Bayadere
Marguerite,And
And,Armand
The,Firebird
Song,Of
Of,The
The,Earth
Symphonic,Variations
Scenes,De
De,Ballet
A,Month
Month,In
In,The
The,Country
The,Rite
Rite,Of
Of,Spring
Les,Sylphides
Enigma,Variations
Variations,(my
(my,Friends
Friends,Pictured
Pictured,Within)
Dances,At
At,A
A,Gathering
Daphnis,And
And,Chloe
Ballet,Imperial
La,Bayadere
Bayadere,
,The
The,Temple
Temple,Dancer
Don,Quixote
Les,Noces
Raymonda,Act
Act,Iii
La,Valse
Elite,Syncopations
Afternoon,Of
Of,A
A,Faun
Les,Biches
Symphony,In
In,C
Birthday,Offering
A,Wedding
Wedding,Bouquet
Thais,Pas
Pas,De
De,Deux
The,Invitation
