piece|count
Tosca|148
La traviata|133
La boh\xc3\xa8me|131
Turandot|92
Don Giovanni|87
Rigoletto|85
Le nozze di Figaro|85
Madama Butterfly|79
Die Zauberfl\xc3\xb6te|75
Cos\xc3\xac fan tutte|75
Carmen|73
Otello|68
Aida|64
Simon Boccanegra|55
Un ballo in maschera|53
Der Rosenkavalier|50
Il barbiere di Siviglia|46
Eugene Onegin|44
Il trovatore|44
Elektra|43
Salome|43
La Cenerentola|40
Die Meistersinger von N\xc3\xbcrnberg|39
Les Contes d'Hoffmann|39
Falstaff|38
Fidelio|38
La fanciulla del West|37
Die Walk\xc3\xbcre|36
G\xc3\xb6tterd\xc3\xa4mmerung|35
Macbeth|35
L'elisir d'amore|35
Faust|34
Das Rheingold|32
Siegfried|30
Tristan und Isolde|29
Don Pasquale|27
K\xc3\xa1t'a Kabanov\xc3\xa1|26
Die Frau ohne Schatten|25
Peter Grimes|25
Ariadne auf Naxos|25
Samson et Dalila|24
La Fille du r\xc3\xa9giment|24
I Capuleti e i Montecchi|23
Lohengrin|23
Parsifal|23
Der fliegende Holl\xc3\xa4nder|22
Gianni Schicchi|21
Hansel and Gretel|21
Rom\xc3\xa9o et Juliette|21
Arabella|20
Stiffelio|20
The Cunning Little Vixen|19
The Queen of Spades|19
Pagliacci|19
Die Entf\xc3\xbchrung aus dem Serail|18
A Midsummer Night's Dream|18
La clemenza di Tito|18
Jen\xc5\xaffa|18
Attila|18
Don Carlos|18
Luisa Miller|17
La sonnambula|16
Don Carlo|16
Werther|16
Billy Budd|15
The Rake's Progress|15
Wozzeck|15
Nabucco|15
Manon|15
Boris Godunov|15
Lucia di Lammermoor|14
Die Fledermaus|14
Semele|14
Il turco in Italia|14
Babette's Feast|14
The Midsummer Marriage|13
Lady Macbeth of Mtsensk|13
Erwartung|13
L'Heure espagnole|13
Duke Bluebeard's Castle|13
La rondine|13
The Bartered Bride|13
Fedora|12
Ch\xc3\xa9rubin|12
The Greek Passion|12
The Tempest|12
Cavalleria rusticana|12
Orlando|12
Orfeo ed Euridice|11
Palestrina|11
Pell\xc3\xa9as et M\xc3\xa9lisande|11
Porgy and Bess|11
Tannh\xc3\xa4user|11
Gawain|10
The Beggar's Opera|10
Owen Wingrave|10
Artaxerxes|9
L'Italiana in Algeri|9
The Tsarina's Slippers|9
Hamlet|9
La forza del destino|9
Sweeney Todd|9
Rusalka|8
I masnadieri|8
Bird of Night|8
Adriana Lecouvreur|8
Maskarade|8
Lulu|8
La finta giardiniera|7
Alcina|7
La Damnation de Faust|7
Il tabarro|7
Iphig\xc3\xa9nie en Tauride|7
Mitridate, r\xc3\xa8 di Ponto|7
L'Africaine|7
Les Troyens|7
Mos\xc3\xa8 in Egitto|7
The Tsar's Bride|7
Powder Her Face|7
Tamerlano|7
Niobe, regina di Tebe|6
Orph\xc3\xa9e|6
Matilde di Shabran|6
Die tote Stadt|6
Mathis der Maler|6
Robert le diable|6
Suor Angelica|6
L'anima del filosofo|6
Il re pastore|6
Pell\xc3\xa9as et Melisande|6
Manon Lescaut|6
The Minotaur|6
I due Foscari|6
Anna Nicole|6
Cendrillon|6
Norma|6
Andrea Ch\xc3\xa9nier|6
1984|6
Cyrano de Bergerac|6
Sophie's Choice|6
Boulevard Solitude|6
La Calisto|6
The Rape of Lucretia|6
The Gambler|6
The Turn of the Screw|6
Miss Fortune|5
Giovanna d'Arco|5
Mitridate, re di Ponto|5
Arianna|5
Der Freisch\xc3\xbctz|5
War Requiem|4
Taverner|3
The Knot Garden|3
King Arthur|3
King Priam|3
Samson|2
The Ice Break|2
Rigoletto: Act III|2
Otello: Act IV|2
Guillaume Tell|2
Cos\xc3\xac fan tutte - 'Soave sia il vento'|2
Dom S\xc3\xa9bastien, roi de Portugal|2
La battaglia di Legnano|2
Early evening|2
Linda di Chamounix|2
La Gioconda|2
Paul Bunyan|2
Le nozze di Figaro - Act II|2
Fidelio - Closing Scene, Act II|2
Don Carlo - Act IV scene 1|2
The Golden Cockerel|2
Tha\xc3\xafs|2
Il corsaro|2
Vocalise|2
Die Walk\xc3\xbcre - 'Schl\xc3\xa4fst Du, Gast?', Act I|2
Daphne|2
Benvenuto Cellini|2
Messa da Requiem|2
Victory|2
I Pagliacci|2
Les P\xc3\xaacheurs de perles|2
Roberto Devereux|2
Die Meistersinger von N\xc3\xbcrnberg - Prelude, Quintet and Act III scene 2|2
Khovanshchina|2
L'Enfant et les sortil\xc3\xa8ges|2
Simon Boccanegra: Act III|2
Idomeneo, r\xc3\xa8 di Creta|2
La Juive|2
Aroldo|2
The Nightingale|2
Vaghissima sembianza|1
The Queen of Spades - 'Ya vas lyublyu bezmerno'|1
Die \xc3\xa4gyptische Helena|1
La boh\xc3\xa8me - 'Che gelida manina', Act I|1
Carmen - Act I 'Habanera'|1
Turandot - 'In questa reggia'
Nessun dorma' and Finale Act III|1
Carmen - 'Tor\xc3\xa9ador' aria, Act II|1
Lucia di Lammermoor - Act II sextet|1
Carmen - Act IV Entracte and the entrance of the matadors|1
Mefistofele|1
Samson et Dalila - 'Mon coeur s'ouvre a ta voix'|1
La traviata - 'Ah fors'\xc3\xa8 lui', Act I|1
La traviata - Act I Brindisi|1
Prince Igor|1
M\xc3\xa9d\xc3\xa9e|1
Oberto, Conte di San Bonifacio|1
National Anthem|1
Mefistofele - 'Son lo spirito che nega'|1
Sure on this Shining Night|1
Un giorno di regno|1
Les Huguenots|1
La regata veneziana|1
Eugene Onegin - Final scene|1
Arabella - Act I Monologue 'Mein Elemer'|1
Un re in ascolto|1
A Florentine Tragedy|1
Iolanta - 'Gospod' moy, yesti greshen ya'|1
Le Cid - Act I 'O noble lame \xc3\xa9tincelante'|1
Otello - 'Gia nella notte densa'|1
Faust - Prologue|1
La boh\xc3\xa8me - 'Quando m'en vo'|1
La boh\xc3\xa8me - Act I conclusion|1
L'elisir d'amore - 'Caro elisir, sei mio'|1
Tosca - Act I Te Deum|1
Il trovatore - Act I Aria 'Tacea la notte'|1
The Trojans at Carthage - 'Hail, all hail to the Queen'|1
Sadko - Three Songs|1
The Pilgrim's Progress|1
Orfeo ed Euridice - 'Che faro'|1
Death in Venice|1
Der Rosenkavalier - Act II Presentation of the Rose|1
Die Entf\xc3\xbchrung aus dem Serail - Act III Aria 'Ha, wie will ich triumphieren'|1
Treemonisha - 'Marching Onward'|1
The Enchantress|1
Tosca - Te Deum, Act I|1
Falstaff - Act III 'Tutto nel mondo \xc3\xa8 burla'|1
Don Carlos - 'E lui desso'|1
Cavalleria Rusticana - Duet 'Tu qui Santuzza'|1
Net, tolko tot, kto znal|1
Le Cid - 'O souverain'|1
Ethiopia Saluting the Colours|1
Carmen - 'Parle-moi de ma m\xc3\xa8re'|1
Olympic Anthem|1
Luisa Miller - 'Tu puniscimi'|1
Le Cid - '\xc3\x94 Souverain, \xc3\xb4 juge, \xc3\xb4 p\xc3\xa8re' (Rodrigue's aria, Act III)|1
Otello - 'Willow Song' (Desdemona's aria, Act III)|1
Arabella - 'Und du wirst mein Gebeiter sein'|1
The Bohemian Girl - Act II 'I dreamt I dwelt in marble halls'|1
Souvenir d'un lieu cher - 'M\xc3\xa9ditation' and 'Scherzo'|1
Maria Stuarda|1
Gloriana - Lute Song|1
Peter Grimes  - Act III Scene I Embroidery Aria|1
Peter Grimes - Act I scene 2 'For peace sake'|1
Esclarmonde|1
Nabucco - 'Va pensiero' (Chorus of the Hebrew Slaves), Act III|1
Donnerstag aus Licht|1
Anna Bolena|1
Granada|1
Il barbiere di Siviglia - 'Dunque io son'|1
Tosca - Act III 'E lucevan le stelle'|1
Cavalleria rusticana - 'Easter Chorus'|1
I puritani - Act II Suoni la tromba|1
Falstaff - 'Tutto nel mondo \xc3\xa8 burla'|1
La traviata - Act I 'Libiam ne' lieti calici'|1
Rusalka - Act I 'Song to the Moon'|1
Les P\xc3\xaacheurs de perles - 'Au fond du temple saint' (Nadir and Zurga's duet, Act I)|1
Don Pasquale - 'Quel guardo'|1
Happy Birthday|1
Don Giovanni - Act I 'L\xc3\xa0 ci darem la mano'|1
Der Rosenkavalier - Act III Trio to the end of the Opera|1
The Birthday of the Infanta|1
Valurile Dunarii - 'Muzica'|1
Les Troyens - Act IV Duet 'Nuit d'ivresse et d'extase infinie'|1
Nabucco - 'Va pensiero'|1
Giulio Cesare|1
Alceste|1
The Queen of Spades - 'Akh, istomilas' ya gorem'|1
Tannh\xc3\xa4user - Act II 'Freudig begr\xc3\xbcssen wir edle Halle'|1
Tosca - 'Vissi d'arte', Act II|1
La Juive - 'Rachel, quand du Seigneur'|1
Il viaggio a Reims|1
Don Giovanni - 'L\xc3\xa0 ci darem'|1
Don Giovanni - Act I Duet 'L\xc3\xa0 ci darem la mano'|1
Don Carlos - 'Ella giammai m'amo'|1
Norma - Act I Aria 'Casta Diva'|1
Otello - Act III 'Dio me potevi' and the Finale|1
La donna del lago|1
Peter Grimes - Act I scene 2|1
Faust - 'Avant de quitter ces lieux'|1
L'amico Fritz - Cherry Duet|1
The King Goes Forth to France|1
Die Fledermaus - Champagne Trio|1
La boh\xc3\xa8me - 'Mim\xc3\xac, tu pi\xc3\xb9 non torni'|1
Don Giovanni - 'Mi tradi'|1
Otello - 'Credo in un Dio crudel' and 'Niun mi tema'|1
Lieder eines fahrenden Gesellen|1
I Puritani|1
The Trojans at Carthage|1
The Carmelites|1
We Come to the River|1
Verdi Requiem|1
Capriccio|1
The Merry Widow|1
Th\xc3\xa9r\xc3\xa8se|1
Troilus and Cressida|1
Don Pasquale - 'Cheti, cheti immantinente'|1
Le Cid - Act III '\xc3\x94 Souverain, \xc3\xb4 juge, \xc3\xb4 p\xc3\xa8re'|1
Somewhere Over the Rainbow|1
Fidelio - 'Mir ist so wunderbar'|1
La forza del destino - final scene|1
Tristan und Isolde - Act III Liebestod|1
Don Carlos - Act IV Aria 'Ella giammai m'amo'|1
Otello - Act I 'Fuoco di gioia'|1
Falstaff - Act II 'Reverenza'|1
A 'Vucchella|1
Semiramide|1
Mattinata|1
Rigoletto - Act III Quartet|1
Alzira|1
Tosca - Act II Vissi d'arte|1
The Fiery Angel|1
Albert Herring|1
La clemenza di Tito - Act II Aria 'Deh in questo instante'|1
Falstaff - 'Reverenza'|1
La boh\xc3\xa8me - 'O soave fanciulla', Act I|1
Because|1
Can't Help Lovin' Dat Man|1
I Lombardi alla prima crociata|1
Eugene Onegin - 'Kuda, kuda v\xc3\xaf udalilis', Act II|1
Der Rosenkavalier - Act III trio|1
The Trojans|1
Elisabetta|1
Pagliacci - Prologue|1
Der Rosenkavalier - The Presentation of the Rose|1
Macbeth - 'Pi\xc3\xa8ta, rispetto, amore', Act IV|1
The Magic Flute - Ein M\xc3\xa4dchen oder Weibchen|1
La forza del destino - Act IV 'Pace, pace mio dio'|1
Aleko - 'Ves tabor spit'|1
Lucrezia Borgia|1
Idomeneo|1
