word,count
The,9
Sleeping,1
Beauty,1
Swan,1
Lake,1
Nutcracker,1
Romeo,1
And,3
Juliet,1
Giselle,1
Manon,1
Cinderella,1
Dream,1
La,4
Fille,1
Mal,1
Gardee,1
Mayerling,1
Les,4
Patineurs,1
Tales,1
Of,4
Beatrix,1
Potter,1
Bayadere,2
Marguerite,1
Armand,1
Firebird,1
Song,1
Earth,1
Symphonic,1
Variations,2
Scenes,1
De,2
Ballet,2
Ondine,1
A,4
Month,1
In,2
Country,1
Rite,1
Spring,1
Sylphides,1
Serenade,1
Enigma,1
My,1
Friends,1
Pictured,1
Within,1
Onegin,1
Dances,1
At,1
Gathering,1
Apollo,1
Daphnis,1
Chloe,1
Imperial,1
Temple,1
Dancer,1
Don,1
Quixote,1
Noces,1
Raymonda,1
Act,1
III,1
Sylvia,1
Gloria,1
Rhapsody,1
Coppelia,1
Valse,1
Elite,1
Syncopations,1
Afternoon,1
Faun,1
Biches,1
Symphony,1
C,1
Birthday,1
Offering,1
Agon,1
Wedding,1
Bouquet,1
Anastasia,1
Concerto,1
Thais,1
Pas,1
Deux,1
Invitation,1
