piece|count
The Sleeping Beauty|411
Swan Lake|408
The Nutcracker|273
Romeo and Juliet|272
Giselle|224
Manon|174
Cinderella|170
The Dream|125
La Fille mal gardee|97
Mayerling|95
Les Patineurs|90
Tales of Beatrix Potter|89
La Bayadere|89
Marguerite and Armand|85
The Firebird|85
Song of the Earth|84
Symphonic Variations|84
Scenes de ballet|83
Ondine|80
A Month in the Country|74
The Rite of Spring|74
Les Sylphides|65
Serenade|63
Enigma Variations (My Friends Pictured Within)|63
Onegin|62
Dances at a Gathering|61
Apollo|61
Daphnis and Chloe|60
Ballet Imperial|60
La Bayadere - The Temple Dancer|57
Don Quixote|57
Les Noces|55
Raymonda Act III|53
Sylvia|52
Gloria|52
Rhapsody|50
Coppelia|49
La Valse|49
Elite Syncopations|49
Afternoon of a Faun|49
Les Biches|44
Symphony in C|44
Birthday Offering|39
Agon|38
A Wedding Bouquet|38
Anastasia|38
Concerto|37
Thais pas de deux|36
The Invitation|35
Petrushka|34
Jazz Calendar|33
The Judas Tree|31
Shadowplay|31
Divertissement from Napoli|31
Requiem|30
Danses concertantes|29
Voluntaries|29
Les Rendezvous|29
Facade|29
La Sylphide|29
Tryst|29
The Two Pigeons|27
Carmen|26
Monotones|26
Winter Dreams|26
Le Lac des cygnes|26
Checkmate|26
Hamlet|24
Triad|24
Isadora|23
Antigone|23
Steptext|22
Chroma|22
Diversions|22
The Concert (Or, The Perils of Everybody)|22
Prodigal Son|21
Jewels|21
DGV: Danse a grande vitesse|21
Fearful Symmetries|21
The Seven Deadly Sins|20
Flower Festival at Genzano pas de deux|20
Les Noces (The Wedding)|20
The Prince of the Pagodas|19
Monotones II|19
In the Night|19
Four Schumann Pieces|19
La Fin du jour|19
The Leaves are Fading|18
Rituals|18
Theme and Variations|18
Alice's Adventures in Wonderland|18
Polyphonia|18
Sinfonietta|18
Le Baiser de la fee|18
In the middle, somewhat elevated|18
Pavane pour une infante defunte|17
The Good Humoured Ladies|17
Herman Schmerman|17
Tombeaux|16
Homage to The Queen|16
Infra|16
The Rake's Progress|15
Enigma Variations|15
Tchaikovsky pas de deux|15
My Brother, My Sisters|15
Images of Love|15
L'Apres-midi d'un faune|15
Cyrano|14
Different Drummer|14
Duo Concertant|14
Le Corsaire pas de deux|14
'Still Life' at the Penguin Cafe|14
Ballo della regina|14
Limen|14
Birthday Offering - pas de deux|13
The Four Temperaments|13
Lilac Garden|13
Gong|13
The Four Seasons|13
The Lady and the Fool|13
Mam'zelle Angot|13
The Concert (or, The Perils of Everybody)|13
Symphony|13
La Ronde|12
Sensorium|12
Asphodel Meadows|12
The Tempest|12
The Vertiginous Thrill of Exactitude|11
Por Vos Muero|11
The Lesson|11
La Fete etrange|11
Brandenburg Nos. 2 and 4|11
Electric Counterpoint|11
Rushes - Fragments of a Lost Story|11
Pierrot Lunaire|11
La Fete Etrange|10
Mr Worldly Wise|10
Aeon's Run|10
Push Comes to Shove|10
Homage to The Queen - Air|9
Card Game|9
Elektra|9
Voices of Spring|9
Lament of the Waves|9
Sylvia (one act)|9
Ebony Concerto|8
Consort Lessons|8
Konservatoriet|8
La Sylphide - extract|8
Las Hermanas|8
Illuminations|8
Sleeping with Audrey|8
Winter Dreams - Farewell pas de deux|8
Le Spectre de la rose|8
L'Invitation au voyage|8
La Bayadere - Act IV The Kingdom of the Shades|8
Stravinsky Violin Concerto|8
3 : 4|7
Sylvia - pas de deux|7
Fanfare|7
In the middle, somewhat elevated - pas de deux|7
Rinaldo and Armida|7
If this is still a problem|7
Tanglewood|7
Raymonda Pas de deux, Variations and Coda|7
This House Will Burn|7
Images of Love - 'Two Loves I Have'|7
Sphinx|7
Ad Infinitum|7
Piano Concerto No. 2|7
Dances of Albion: Dark Night Glad Day|7
Amores|7
Jeux|7
Side Show|7
Persephone|7
Monotones Nos. 1 and 2|7
Daphnis and Chloe|7
Rhapsody - pas de deux|7
The Ropes of Time|7
Siren Song|7
Acheron's Dream|7
...now languorous, now wild...|7
Memory|7
Children of Adam|7
There Where She Loves|7
Carbon Life|6
Les Saisons|6
The Crucible|6
Don Quixote - Act III pas de deux|6
Remanso|6
Paradise Lost|6
Dances with Death|6
Poeme de l'extase|6
La Chatte metamorphosee en femme|6
Invitus Invitam|6
Remanso - excerpt|6
Live Fire Exercise|6
Dance Variations|6
Pineapple Poll|6
Romeo and Juliet - Balcony pas de deux|6
Sweet Violets|6
Three Songs - Two Voices|6
Two-Part Invention|6
Fool's Paradise|6
Beyond Bach|6
Castle Nowhere|6
Viscera|6
Manon - Act I Scene 2 pas de deux|5
Liebeslieder Walzer|5
Masquerade|5
The Talisman pas de deux|5
Qualia|5
Proverb|5
As One|5
Broken Fall|5
Pas de deux from 'Flower Festival at Genzano'|5
Tzigane|5
The Sleeping Beauty - Awakening pas de deux|5
The Sleeping Beauty - Act II Awakening pas de deux|5
Voices of Spring pas de deux|5
'Still Life' at the Penguin Cafe - White Mischief|5
Devil's Holiday pas de deux|5
Varii Capricci|5
Laborintus|5
A Stranger's Taste|5
Puirt-a-Beul|5
Devil's Holiday Variation|5
Five Brahms Waltzes in the Manner of Isadora Duncan|5
Don Quixote pas de deux|5
Requiem Canticles|5
Frankenstein, the Modern Prometheus|4
Dark Elegies|4
Spring Rites|4
Trespass|4
Barber Violin Concerto - Second movement|4
Venetian Requiem|4
Vayamos al Diablo|4
Romeo and Juliet - Balcony Scene|4
The Dream - pas de deux|4
Memento|4
Being and Having Been|4
Solitaire|4
Hidden Variables|4
What if...|4
The Turn of the Screw|4
A World of Art|4
Troy Game|4
Machina|4
Stop Me when I'm Stuck|4
Mr Bear-Squash-You-All-Flat|4
Qualia - pas de deux|4
Diana and Actaeon|4
Renard|4
Raymonda - pas de deux|4
Of Mozart|4
La Peri|4
On Public Display|4
Agitator|4
Galanteries|4
Despite|4
Elite Syncopations - Bethena|4
Cry Baby Kreisler|4
Dante Sonata - Solo|4
Silent Vision|4
Two Footnotes to Ashton|4
The Polovtsian Dances from the opera 'Prince Igor'|4
Engram|4
Monument|4
Yes we did...|3
Now|3
Valley of Shadows|3
Pellias and Melisande|3
Non-linear Interactions|3
Miracle in the Gorbals|3
Adagio Hammerklavier|3
Monotones Pas de trois|3
Daphnis and Chloe - Final Scene|3
Grand Pas Classique|3
Adieu|3
Job|3
Recordato|3
Napoli Divertissements|3
Monotones No. 2|3
The Shadow|3
The Sons of Horus|3
Consolations and Liebestraum|3
Dear Norman|3
Pursuit|3
Olympiad|3
Return to the Strange Land|3
Les Lutins|3
Concerto - pas de deux|3
Fantasy|3
Young Apollo|3
Job: Satan's Solo|3
Tweedledum and Tweedledee|3
Die Fledermaus - Voices of Spring pas de deux|3
Napoli - Man's Solo, Act III|2
Mr Worldly Wise - Excerpt|2
Piano|2
Chroma - divertissement|2
La Bayadere - Coda, Act II (The Kingdom of Shades)|2
Midsummer|2
Thais - Pas de deux|2
Beauty and the Beast|2
The Sleeping Beauty - Lilac Fairy, Rose Adage|2
Raymonda - Grand Pas,Coda|2
Romeo and Juliet - 'Balcony Scene' pas de deux|2
Orpheus|2
Pas de deux|2
Rubies|2
Enclosure|2
The Taming of the Shrew|2
The Prince of the Pagodas - pas de deux, Act III|2
Towards Poetry|2
Sylvia - Pas de deux,variations and coda|2
The Walk to the Paradise Garden|2
Cinderella - 'Oranges'|2
Chanson|2
Other Dances|2
Ballet Imperial - Excerpt|2
Night Tryst|2
La Fille mal gardee - Clog Dance|2
Romeo and Juliet - balcony scene|2
